"","Sample_ID","AOI","Region","WellC","WellR","Plate","Area","Nuclei"
"1","DSP-1001660006524-C-A02","Derm","AKCenter","02","A","Skin13",28728.53,332
"2","DSP-1001660006524-C-A03","Derm","AKCenter","03","A","Skin13",27309.55,234
"3","DSP-1001660006524-C-A04","Derm","AKCenter","04","A","Skin13",25612.51,261
"4","DSP-1001660006524-C-A05","Epi","AKCenter","05","A","Skin13",26859.43,379
"5","DSP-1001660006524-C-A06","Epi","AKCenter","06","A","Skin13",24681.3,393
"6","DSP-1001660006524-C-A07","Epi","AKCenter","07","A","Skin13",32306.97,255
"7","DSP-1001660006524-C-A08","Derm","AKEdge","08","A","Skin13",24071.73,292
"8","DSP-1001660006524-C-A09","Derm","AKEdge","09","A","Skin13",19331.45,211
"9","DSP-1001660006524-C-A10","Derm","AKEdge","10","A","Skin13",20077.65,206
"10","DSP-1001660006524-C-A11","Epi","AKEdge","11","A","Skin13",19694.41,147
"11","DSP-1001660006524-C-A12","Epi","AKEdge","12","A","Skin13",14507.2,129
"12","DSP-1001660006524-C-B01","Epi","AKEdge","01","B","Skin13",17426.9,187
"13","DSP-1001660006524-C-B02","Derm","SunDamaged","02","B","Skin13",56379.5,356
"14","DSP-1001660006524-C-B03","Derm","SunDamaged","03","B","Skin13",40701.99,368
"15","DSP-1001660006524-C-B04","Derm","SunDamaged","04","B","Skin13",82043.56,295
"16","DSP-1001660006524-C-B05","Epi","SunDamaged","05","B","Skin13",32969.7,284
"17","DSP-1001660006524-C-B06","Epi","SunDamaged","06","B","Skin13",35307.76,299
"18","DSP-1001660006524-C-B07","Epi","SunDamaged","07","B","Skin13",44992.31,318
"19","DSP-1001660006524-C-B08","Derm","SunProtected","08","B","Skin13",45949.69,295
"20","DSP-1001660006524-C-B09","Derm","SunProtected","09","B","Skin13",43615.78,348
"21","DSP-1001660006524-C-B10","Derm","SunProtected","10","B","Skin13",72138.41,317
"22","DSP-1001660006524-C-B11","Epi","SunProtected","11","B","Skin13",25454.01,235
"23","DSP-1001660006524-C-B12","Epi","SunProtected","12","B","Skin13",27272.04,229
"24","DSP-1001660006524-C-C01","Epi","SunProtected","01","C","Skin13",24691.84,224
"25","DSP-1001660006524-C-C02","cSCC","cSCC_Stroma","02","C","Skin13",30080.48,253
"26","DSP-1001660006524-C-C03","cSCC","cSCC_Stroma","03","C","Skin13",17339.59,166
"27","DSP-1001660006524-C-C04","cSCC","cSCC_Stroma","04","C","Skin13",59413.64,415
"28","DSP-1001660006524-C-C05","cSCC","cSCC","05","C","Skin13",178918.66,265
"29","DSP-1001660006524-C-C06","cSCC","cSCC","06","C","Skin13",137640.46,321
"30","DSP-1001660006524-C-C07","cSCC","cSCC","07","C","Skin13",69381.04,352
"31","DSP-1001660006524-C-C08","cSCC","cSCC","08","C","Skin13",121718.1,200
"32","DSP-1001660006524-C-C09","cSCC","cSCC_Stroma","09","C","Skin13",12096.52,125
"33","DSP-1001660006524-C-C10","cSCC","cSCC_Stroma","10","C","Skin13",23012.52,257
"34","DSP-1001660006524-C-C11","cSCC","cSCC_Stroma","11","C","Skin13",18990.35,243
"35","DSP-1001660006524-C-C12","cSCC","cSCC","12","C","Skin13",50034.11,272
"36","DSP-1001660006524-C-D01","cSCC","cSCC","01","D","Skin13",51126.37,338
"37","DSP-1001660006524-C-D02","cSCC","cSCC","02","D","Skin13",36846.62,271
"38","DSP-1001660006524-C-D03","cSCC","cSCC","03","D","Skin13",30579.92,246
"39","DSP-1001660006524-C-D04","cSCC","cSCC","04","D","Skin13",28314.17,245
"40","DSP-1001660006524-C-D05","cSCC","cSCC","05","D","Skin13",22782.19,184
"41","DSP-1001660006524-C-D06","cSCC","cSCC_Stroma","06","D","Skin13",31957.09,265
"42","DSP-1001660006524-C-D07","cSCC","cSCC_Stroma","07","D","Skin13",29897.24,305
"43","DSP-1001660006524-C-D08","cSCC","cSCC_Stroma","08","D","Skin13",31536.18,281
"44","DSP-1001660006524-C-D09","cSCC","cSCC","09","D","Skin13",82363.43,213
"45","DSP-1001660006524-C-D10","cSCC","cSCC","10","D","Skin13",106092.31,208
"46","DSP-1001660006524-C-D11","cSCC","cSCC","11","D","Skin13",55697.62,250
"47","DSP-1001660006524-C-D12","cSCC","cSCC","12","D","Skin13",37254.44,214
"48","DSP-1001660006524-C-E01","cSCC","cSCC","01","E","Skin13",40232.72,226
"49","DSP-1001660006524-C-E02","cSCC","cSCC_Stroma","02","E","Skin13",76710.3,247
"50","DSP-1001660006524-C-E03","cSCC","cSCC_Stroma","03","E","Skin13",36059.55,199
"51","DSP-1001660006524-C-E04","cSCC","cSCC_Stroma","04","E","Skin13",84417.69,257
"52","DSP-1001660006524-C-E05","cSCC","cSCC","05","E","Skin13",56893.3,289
"53","DSP-1001660006524-C-E06","cSCC","cSCC","06","E","Skin13",44874.68,246
"54","DSP-1001660006524-C-E07","cSCC","cSCC","07","E","Skin13",68063.73,300
"55","DSP-1001660006524-C-E08","cSCC","cSCC","08","E","Skin13",36996.82,225
"56","DSP-1001660006524-C-E09","cSCC","cSCC","09","E","Skin13",35238.96,236
"57","DSP-1001660006524-C-E10","cSCC","cSCC","10","E","Skin13",41899.91,280
"58","DSP-1001660006524-C-E11","cSCC","cSCC_Stroma","11","E","Skin13",29961.57,207
"59","DSP-1001660006524-C-E12","cSCC","cSCC_Stroma","12","E","Skin13",39092.9,266
"60","DSP-1001660006524-C-F01","cSCC","cSCC_Stroma","01","F","Skin13",56074.95,392
"61","DSP-1001660006524-C-F02","cSCC","cSCC","02","F","Skin13",118152.59,912
"62","DSP-1001660006524-C-F03","cSCC","cSCC","03","F","Skin13",95090.43,181
