"Sample","Library_Flowcell_Lane","Raw reads","Raw data","Effective(%)","Error(%)","Q20(%)","Q30(%)","GC(%)","PlateID","Sample_ID"
"S2_F09","CKDL240006127-1A_H2TG7DSXC_L3",3784290,567643500,100,0.03,95.12,89.2,65.77,"DSP-1001660018727-B","DSP-1001660018727-B-F09"
"S2_A06","CKDL240006127-1A_H2TG7DSXC_L3",7353292,1102993800,100,0.04,90.58,85,66.54,"DSP-1001660018727-B","DSP-1001660018727-B-A06"
"S2_A07","CKDL240006127-1A_H2TG7DSXC_L3",4470016,670502400,100,0.04,92.14,86.15,67.17,"DSP-1001660018727-B","DSP-1001660018727-B-A07"
"S2_D01","CKDL240006127-1A_H2TG7DSXC_L3",3883558,582533700,100,0.03,95.42,89.66,65.87,"DSP-1001660018727-B","DSP-1001660018727-B-D01"
"S2_D05","CKDL240006127-1A_H2TG7DSXC_L3",3537856,530678400,100,0.03,94.67,88.61,65.84,"DSP-1001660018727-B","DSP-1001660018727-B-D05"
"S2_D07","CKDL240006127-1A_H2TG7DSXC_L3",3616160,542424000,100,0.03,95.21,89.29,66.23,"DSP-1001660018727-B","DSP-1001660018727-B-D07"
"S2_D10","CKDL240006127-1A_H2TG7DSXC_L3",4810282,721542300,100,0.03,94.93,88.97,67.59,"DSP-1001660018727-B","DSP-1001660018727-B-D10"
"S2_F06","CKDL240006127-1A_H2TG7DSXC_L3",2650860,397629000,100,0.03,94.53,88.41,65.81,"DSP-1001660018727-B","DSP-1001660018727-B-F06"
"S2_F07","CKDL240006127-1A_H2TG7DSXC_L3",1956844,293526600,100,0.03,94.57,88.33,66.79,"DSP-1001660018727-B","DSP-1001660018727-B-F07"
"S2_F08","CKDL240006127-1A_H2TG7DSXC_L3",1447288,217093200,100,0.03,95.25,89.33,65.43,"DSP-1001660018727-B","DSP-1001660018727-B-F08"
"S2_F10","CKDL240006127-1A_H2TG7DSXC_L3",2294820,344223000,100,0.03,94.85,88.9,66.83,"DSP-1001660018727-B","DSP-1001660018727-B-F10"
"S2_F11","CKDL240006127-1A_H2TG7DSXC_L3",831318,124697700,100,0.03,95.03,89.14,66.11,"DSP-1001660018727-B","DSP-1001660018727-B-F11"
"S2_F12","CKDL240006127-1A_H2TG7DSXC_L3",539726,80958900,100,0.03,94.9,88.39,66.76,"DSP-1001660018727-B","DSP-1001660018727-B-F12"
"S2_G01","CKDL240006127-1A_H2TG7DSXC_L3",2306244,345936600,100,0.04,92.45,86.3,67.1,"DSP-1001660018727-B","DSP-1001660018727-B-G01"
"S2_G02","CKDL240006127-1A_H2TG7DSXC_L3",1784232,267634800,100,0.04,91.66,85.8,66.91,"DSP-1001660018727-B","DSP-1001660018727-B-G02"
"S2_G03","CKDL240006127-1A_H2TG7DSXC_L3",2247210,337081500,100,0.03,93.8,87.55,65.6,"DSP-1001660018727-B","DSP-1001660018727-B-G03"
"S2_G04","CKDL240006127-1A_H2TG7DSXC_L3",904890,135733500,100,0.04,90.71,85,66.08,"DSP-1001660018727-B","DSP-1001660018727-B-G04"
"S2_G05","CKDL240006127-1A_H2TG7DSXC_L3",498160,74724000,100,0.03,95.2,89.27,66.15,"DSP-1001660018727-B","DSP-1001660018727-B-G05"
"S2_G06","CKDL240006127-1A_H2TG7DSXC_L3",1100612,165091800,100,0.03,95.75,90.41,65.46,"DSP-1001660018727-B","DSP-1001660018727-B-G06"
"S2_G07","CKDL240006127-1A_H2TG7DSXC_L3",1132926,169938900,100,0.04,93.47,87.46,67.11,"DSP-1001660018727-B","DSP-1001660018727-B-G07"
"S2_A01","CKDL240006127-1A_H2TG7DSXC_L3",6122,918300,100,0.04,90.83,83.18,70.56,"DSP-1001660018727-B","DSP-1001660018727-B-A01"
"S2_A02","CKDL240006127-1A_H2TG7DSXC_L3",2227470,334120500,100,0.04,93.28,87.09,65.27,"DSP-1001660018727-B","DSP-1001660018727-B-A02"
"S2_A03","CKDL240006127-1A_H2TG7DSXC_L3",2204122,330618300,100,0.03,95.34,89.48,65.85,"DSP-1001660018727-B","DSP-1001660018727-B-A03"
"S2_A04","CKDL240006127-1A_H2TG7DSXC_L3",2315328,347299200,100,0.03,95.25,89.53,65.85,"DSP-1001660018727-B","DSP-1001660018727-B-A04"
"S2_A05","CKDL240006127-1A_H2TG7DSXC_L3",3217904,482685600,100,0.03,94.32,87.99,65.91,"DSP-1001660018727-B","DSP-1001660018727-B-A05"
"S2_A08","CKDL240006127-1A_H2TG7DSXC_L3",1230404,184560600,100,0.03,94.21,88.26,66.25,"DSP-1001660018727-B","DSP-1001660018727-B-A08"
"S2_A09","CKDL240006127-1A_H2TG7DSXC_L3",1361434,204215100,100,0.04,93.16,87.14,66.63,"DSP-1001660018727-B","DSP-1001660018727-B-A09"
"S2_A10","CKDL240006127-1A_H2TG7DSXC_L3",2582226,387333900,100,0.04,93.25,87.08,65.96,"DSP-1001660018727-B","DSP-1001660018727-B-A10"
"S2_A11","CKDL240006127-1A_H2TG7DSXC_L3",938118,140717700,100,0.03,94.44,88.55,66.96,"DSP-1001660018727-B","DSP-1001660018727-B-A11"
"S2_A12","CKDL240006127-1A_H2TG7DSXC_L3",2180760,327114000,100,0.03,93.74,87.42,66.05,"DSP-1001660018727-B","DSP-1001660018727-B-A12"
"S2_B01","CKDL240006127-1A_H2TG7DSXC_L3",2353948,353092200,100,0.04,92.54,86.51,66.11,"DSP-1001660018727-B","DSP-1001660018727-B-B01"
"S2_B02","CKDL240006127-1A_H2TG7DSXC_L3",678334,101750100,100,0.03,95.27,89.29,65.17,"DSP-1001660018727-B","DSP-1001660018727-B-B02"
"S2_B03","CKDL240006127-1A_H2TG7DSXC_L3",561494,84224100,100,0.04,93.15,86.81,67.05,"DSP-1001660018727-B","DSP-1001660018727-B-B03"
"S2_B04","CKDL240006127-1A_H2TG7DSXC_L3",728722,109308300,100,0.03,95.71,90.28,67.52,"DSP-1001660018727-B","DSP-1001660018727-B-B04"
"S2_B05","CKDL240006127-1A_H2TG7DSXC_L3",1954718,293207700,100,0.03,94.58,88.71,66.89,"DSP-1001660018727-B","DSP-1001660018727-B-B05"
"S2_B06","CKDL240006127-1A_H2TG7DSXC_L3",1660980,249147000,100,0.04,92.29,86.14,66.88,"DSP-1001660018727-B","DSP-1001660018727-B-B06"
"S2_B07","CKDL240006127-1A_H2TG7DSXC_L3",2626008,393901200,100,0.03,94.43,88.1,64.5,"DSP-1001660018727-B","DSP-1001660018727-B-B07"
"S2_B08","CKDL240006127-1A_H2TG7DSXC_L3",780308,117046200,100,0.03,95.45,89.65,64.49,"DSP-1001660018727-B","DSP-1001660018727-B-B08"
"S2_B09","CKDL240006127-1A_H2TG7DSXC_L3",1231172,184675800,100,0.03,95.85,90.3,66.18,"DSP-1001660018727-B","DSP-1001660018727-B-B09"
"S2_B10","CKDL240006127-1A_H2TG7DSXC_L3",362680,54402000,100,0.04,93,86.5,66.07,"DSP-1001660018727-B","DSP-1001660018727-B-B10"
"S2_B11","CKDL240006127-1A_H2TG7DSXC_L3",902014,135302100,100,0.04,91.4,85.63,67.42,"DSP-1001660018727-B","DSP-1001660018727-B-B11"
"S2_B12","CKDL240006127-1A_H2TG7DSXC_L3",994166,149124900,100,0.03,94.38,88.25,65.91,"DSP-1001660018727-B","DSP-1001660018727-B-B12"
"S2_C01","CKDL240006127-1A_H2TG7DSXC_L3",1457702,218655300,100,0.03,95.71,90.27,66.94,"DSP-1001660018727-B","DSP-1001660018727-B-C01"
"S2_C02","CKDL240006127-1A_H2TG7DSXC_L3",754240,113136000,100,0.04,90.98,85.47,66.45,"DSP-1001660018727-B","DSP-1001660018727-B-C02"
"S2_C03","CKDL240006127-1A_H2TG7DSXC_L3",394782,59217300,100,0.04,92.4,86.33,66.7,"DSP-1001660018727-B","DSP-1001660018727-B-C03"
"S2_C04","CKDL240006127-1A_H2TG7DSXC_L3",628554,94283100,100,0.03,93.85,87.1,65.59,"DSP-1001660018727-B","DSP-1001660018727-B-C04"
"S2_C05","CKDL240006127-1A_H2TG7DSXC_L3",994560,149184000,100,0.03,95.15,89.28,66.98,"DSP-1001660018727-B","DSP-1001660018727-B-C05"
"S2_C06","CKDL240006127-1A_H2TG7DSXC_L3",868198,130229700,100,0.04,93.58,87.18,67.05,"DSP-1001660018727-B","DSP-1001660018727-B-C06"
"S2_C07","CKDL240006127-1A_H2TG7DSXC_L3",1301228,195184200,100,0.03,94.7,88.56,66.27,"DSP-1001660018727-B","DSP-1001660018727-B-C07"
"S2_C08","CKDL240006127-1A_H2TG7DSXC_L3",1336806,200520900,100,0.03,95.64,90.05,65.87,"DSP-1001660018727-B","DSP-1001660018727-B-C08"
"S2_C09","CKDL240006127-1A_H2TG7DSXC_L3",1498350,224752500,100,0.03,94.33,88.1,65.86,"DSP-1001660018727-B","DSP-1001660018727-B-C09"
"S2_C10","CKDL240006127-1A_H2TG7DSXC_L3",1717308,257596200,100,0.03,95.05,89.05,66.54,"DSP-1001660018727-B","DSP-1001660018727-B-C10"
"S2_C11","CKDL240006127-1A_H2TG7DSXC_L3",1496310,224446500,100,0.04,92.96,87.01,66.68,"DSP-1001660018727-B","DSP-1001660018727-B-C11"
"S2_C12","CKDL240006127-1A_H2TG7DSXC_L3",3208424,481263600,100,0.03,94.23,87.65,67.26,"DSP-1001660018727-B","DSP-1001660018727-B-C12"
"S2_D02","CKDL240006127-1A_H2TG7DSXC_L3",2043934,306590100,100,0.03,95.77,90.26,65.11,"DSP-1001660018727-B","DSP-1001660018727-B-D02"
"S2_D03","CKDL240006127-1A_H2TG7DSXC_L3",2142968,321445200,100,0.03,95.74,90.32,65.79,"DSP-1001660018727-B","DSP-1001660018727-B-D03"
"S2_D04","CKDL240006127-1A_H2TG7DSXC_L3",1910214,286532100,100,0.03,94.15,88.03,66.32,"DSP-1001660018727-B","DSP-1001660018727-B-D04"
"S2_D06","CKDL240006127-1A_H2TG7DSXC_L3",2389226,358383900,100,0.04,90.7,85.27,66.41,"DSP-1001660018727-B","DSP-1001660018727-B-D06"
"S2_D08","CKDL240006127-1A_H2TG7DSXC_L3",2665060,399759000,100,0.03,95.28,89.59,66.19,"DSP-1001660018727-B","DSP-1001660018727-B-D08"
